dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,5.0,1.0,511,0.23628710928123842,0.2286582358715431,0.24394874901137129,9.999000099990002e-05,3.036249691120951e-85,0.3913894324853229,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,5.0,2.0,511,0.2195025001091537,0.20018041411730259,0.23928202755061856,9.999000099990002e-05,1.0254676169092189e-62,15.459882583170254,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,10.0,0.25,511,0.3857707681533513,0.3556603369043438,0.4164586963373656,9.999000099990002e-05,1.4739480858631899e-77,14.090019569471623,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,10.0,0.5,511,0.3857692763857147,0.35750534541018886,0.41530103580372657,9.999000099990002e-05,1.205732199643864e-79,9.784735812133071,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,10.0,1.0,511,0.45461249557139966,0.4318325781089969,0.4782106154337074,9.999000099990002e-05,2.5407825098384138e-85,0.7827788649706457,
Open-Domain,subject,s2_oracle_scalar_alpha,0.7,10.0,2.0,511,0.7954316438073777,0.7694437505308348,0.8220594249738085,9.999000099990002e-05,2.1562439490573082e-85,0.3913894324853229,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,1.0,0.25,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,1.0,0.5,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,1.0,1.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,1.0,2.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,2.0,0.25,511,0.010054159799756669,0.007720493941262044,0.012426537965187667,9.999000099990002e-05,6.98353435961922e-13,35.42074363992172,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,2.0,0.5,511,0.013244392050654282,0.010698728321037519,0.015846781480098507,9.999000099990002e-05,1.9862122353049163e-20,29.9412915851272,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,2.0,1.0,511,0.03693447669964303,0.031498348900501544,0.042659590192369055,9.999000099990002e-05,1.9705215037496297e-30,24.26614481409002,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,2.0,2.0,511,-0.03167611905380986,-0.03843024788866277,-0.025255265336967897,9.999000099990002e-05,9.344271801119522e-18,62.426614481409004,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,3.0,0.25,511,0.031740466534987084,0.02713082735648783,0.03651112104084217,9.999000099990002e-05,6.8969110031049905e-31,32.4853228962818,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,3.0,0.5,511,0.034603756756398645,0.030326888348659386,0.038957032666181404,9.999000099990002e-05,4.726739122507157e-44,22.113502935420744,9.999000099990002e-05
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,3.0,1.0,511,0.13701358219949217,0.1289034177390342,0.14522053859382628,9.999000099990002e-05,2.1385347061385603e-79,6.653620352250488,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,3.0,2.0,511,-0.02136046167357322,-0.03225389494176187,-0.010326611364282598,0.00029997000299970003,2.6262725449173078e-05,56.555772994129164,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,5.0,0.25,511,0.09233199774784902,0.08234800030910598,0.10258045356198486,9.999000099990002e-05,6.615048792196407e-52,26.810176125244617,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,5.0,0.5,511,0.09412861220101924,0.08511625252329755,0.10323694078806603,9.999000099990002e-05,1.8679029055152426e-62,17.025440313111545,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,5.0,1.0,511,0.22570837077686393,0.21849482899140432,0.23315743459628,9.999000099990002e-05,4.500323704178781e-85,0.3913894324853229,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,5.0,2.0,511,0.2195025001091537,0.20023967807578372,0.23908303177579107,9.999000099990002e-05,1.0254676169092189e-62,15.459882583170254,
