dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Open-Domain,TFIDF_LR,3.0,0.25,0.1,511,subject,-0.06962647778401203,-0.058333333333333404,-0.0762264526569321,-0.06318634312795271,9.999000099990002e-05,8.174097957078434e-62,96,408,7,79.84344422700586,
Open-Domain,TFIDF_LR,3.0,0.5,0.1,511,subject,-0.04379988048481201,-0.033333333333333326,-0.04979719104552767,-0.037924431070125816,9.999000099990002e-05,4.287747336372881e-34,142,363,6,71.0371819960861,9.999000099990002e-05
Open-Domain,TFIDF_LR,3.0,1.0,0.1,511,subject,0.007853314113588042,0.0071428571428571175,0.0025027945852798645,0.013324059089421086,0.0051994800519948,0.0026765757421302622,278,228,5,44.61839530332681,
Open-Domain,TFIDF_LR,3.0,2.0,0.1,511,subject,0.11115970331038828,0.10000000000000009,0.10434894257188784,0.11803790516941207,9.999000099990002e-05,4.3210281454597535e-81,476,20,15,3.9138943248532287,
Open-Domain,TFIDF_LR,5.0,0.25,0.1,511,subject,-0.1592950543694184,-0.12714285714285717,-0.17274395149045346,-0.14639313477889804,9.999000099990002e-05,6.371616275400727e-73,74,432,5,84.54011741682974,
Open-Domain,TFIDF_LR,5.0,0.5,0.1,511,subject,-0.1289996040054749,-0.10000000000000009,-0.14127078024171966,-0.11658752054642472,9.999000099990002e-05,2.152668397117916e-59,98,408,5,79.84344422700586,
Open-Domain,TFIDF_LR,5.0,1.0,0.1,511,subject,-0.06840870327758793,-0.04727272727272713,-0.07930653036352656,-0.05726658552906116,9.999000099990002e-05,8.523841870677162e-24,166,340,5,66.53620352250489,
Open-Domain,TFIDF_LR,5.0,2.0,0.1,511,subject,0.05277309817818629,0.050000000000000266,0.04262412186639197,0.06293559379846078,9.999000099990002e-05,2.1808831539530075e-19,335,171,5,33.46379647749511,
Open-Domain,TFIDF_LR,10.0,0.25,0.1,511,subject,-0.3933397553740022,-0.3250000000000004,-0.42398438296862984,-0.3629350064129176,9.999000099990002e-05,1.4352471276724783e-78,68,438,5,85.71428571428571,
Open-Domain,TFIDF_LR,10.0,0.5,0.1,511,subject,-0.3596844418899216,-0.2785714285714289,-0.38970883039552345,-0.3301919859929158,9.999000099990002e-05,1.943931013804021e-75,69,437,5,85.51859099804305,
