dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
SEUMLD,OADNet_text,2,123,1.0,1.0,mondrian,reject_rate,0.7,0.6742301458670988,0.6742301458670988,0.7585089141004863,0.7585089141004863,0.0
SEUMLD,OADNet_text,2,123,1.0,2.0,mondrian,reject_rate,0.7,0.6742301458670988,0.6742301458670988,1.432739059967585,1.432739059967585,0.0
SEUMLD,OADNet_text,2,2024,1.0,0.25,mondrian,reject_rate,0.7,0.7115072933549432,0.7115072933549432,0.25567260940032416,0.25567260940032416,0.0
SEUMLD,OADNet_text,2,2024,1.0,0.5,mondrian,reject_rate,0.7,0.7115072933549432,0.7115072933549432,0.43354943273906,0.43354943273906,0.0
SEUMLD,OADNet_text,2,2024,1.0,1.0,mondrian,reject_rate,0.7,0.7115072933549432,0.7115072933549432,0.7893030794165316,0.7893030794165316,0.0
SEUMLD,OADNet_text,2,2024,1.0,2.0,mondrian,reject_rate,0.7,0.7115072933549432,0.7115072933549432,1.5008103727714748,1.5008103727714748,0.0
SEUMLD,OADNet_audio,0,7,1.0,0.25,mondrian,reject_rate,0.7,0.7044410413476263,0.7044410413476263,0.3093415007656968,0.3093415007656968,0.0
SEUMLD,OADNet_audio,0,7,1.0,0.5,mondrian,reject_rate,0.7,0.7044410413476263,0.7044410413476263,0.48545176110260335,0.48545176110260335,0.0
SEUMLD,OADNet_audio,0,7,1.0,1.0,mondrian,reject_rate,0.7,0.7044410413476263,0.7044410413476263,0.8376722817764165,0.8376722817764165,0.0
SEUMLD,OADNet_audio,0,7,1.0,2.0,mondrian,reject_rate,0.7,0.7044410413476263,0.7044410413476263,1.542113323124043,1.542113323124043,0.0
SEUMLD,OADNet_audio,0,2024,1.0,0.25,mondrian,reject_rate,0.7,0.7105666156202144,0.7105666156202144,0.2833078101071976,0.2833078101071976,0.0
SEUMLD,OADNet_audio,0,2024,1.0,0.5,mondrian,reject_rate,0.7,0.7105666156202144,0.7105666156202144,0.4609494640122512,0.4609494640122512,0.0
SEUMLD,OADNet_audio,0,2024,1.0,1.0,mondrian,reject_rate,0.7,0.7105666156202144,0.7105666156202144,0.8162327718223583,0.8162327718223583,0.0
SEUMLD,OADNet_audio,0,2024,1.0,2.0,mondrian,reject_rate,0.7,0.7105666156202144,0.7105666156202144,1.5267993874425727,1.5267993874425727,0.0
SEUMLD,OADNet_audio,2,2024,1.0,0.25,mondrian,reject_rate,0.7,0.6839546191247974,0.6839546191247974,0.28119935170178284,0.28119935170178284,0.0
SEUMLD,OADNet_audio,2,2024,1.0,0.5,mondrian,reject_rate,0.7,0.6839546191247974,0.6839546191247974,0.4521880064829822,0.4521880064829822,0.0
SEUMLD,OADNet_audio,2,2024,1.0,1.0,mondrian,reject_rate,0.7,0.6839546191247974,0.6839546191247974,0.7941653160453809,0.7941653160453809,0.0
SEUMLD,OADNet_audio,2,2024,1.0,2.0,mondrian,reject_rate,0.7,0.6839546191247974,0.6839546191247974,1.4781199351701784,1.4781199351701784,0.0
MDPE,OADNet_text,2,2026,1.0,0.25,mondrian,reject_rate,0.7,0.7098501070663812,0.7098501070663812,0.24919700214132762,0.24919700214132762,0.0
