dataset,config,cost_ratio,C_rev,n_independent_subjects,mean_delta,median_delta,bootstrap_ci_2.5,bootstrap_ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct
SEUMLD,OADNet_text,3.0,2.0,76,0.14927732409798997,0.1388888888888889,0.12312514312735046,0.17672760135968715,9.999000099990002e-05,1.7741734334387643e-13,5.249233110119942e-16,71,5,0,6.578947368421052
SEUMLD,OADNet_text,5.0,0.25,76,-0.0943988972639767,-0.050543478260869565,-0.12948703681705,-0.06167964967272983,9.999000099990002e-05,6.823309320294854e-06,0.050452410247217666,29,47,0,61.8421052631579
SEUMLD,OADNet_text,5.0,0.5,76,-0.06074608907718049,-0.0135743174924166,-0.09560917853504095,-0.027319957163017366,0.0008999100089991,0.02146598754994199,0.48868297090314317,34,41,1,53.94736842105263
SEUMLD,OADNet_text,5.0,1.0,76,0.006559527296411952,0.024154589371980686,-0.03040603957280168,0.0412789457148706,0.7253274672532747,0.3784146779151205,0.04739297550405176,46,28,2,36.84210526315789
SEUMLD,OADNet_text,5.0,2.0,76,0.14117076004359683,0.13818181818181818,0.09616660671009031,0.18580970811997727,9.999000099990002e-05,1.8518160053090146e-07,1.4836899336372366e-05,57,19,0,25.0
SEUMLD,OADNet_text,10.0,0.25,76,-0.2392297315485811,-0.139649209486166,-0.31626435207038,-0.16729933948114895,9.999000099990002e-05,2.2475365928756515e-07,0.01058211705170527,26,49,1,64.47368421052632
SEUMLD,OADNet_text,10.0,0.5,76,-0.199963896188994,-0.09565217391304345,-0.2769523722753406,-0.12909559043078211,9.999000099990002e-05,2.622269453211406e-05,0.050452410247217666,29,47,0,61.8421052631579
SEUMLD,OADNet_text,10.0,1.0,76,-0.12143222546981976,-0.02249747219413547,-0.2004936705533407,-0.04597926257577803,0.0020997900209979003,0.041362243566341196,0.7310088822226056,36,40,0,52.63157894736842
SEUMLD,OADNet_text,10.0,2.0,76,0.03563111596852874,0.0865497076023392,-0.0472238198758831,0.11389410980280154,0.3852614738526147,0.1950996654475553,0.04739297550405176,46,28,2,36.84210526315789
SEUMLD,OADNet_audio,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_audio,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_audio,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_audio,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_audio,2.0,0.25,76,-0.011014320696747215,0.0,-0.018042640735731825,-0.004380646079006087,0.0014998500149985001,0.01796693255886855,0.794843653982861,28,31,17,40.78947368421053
