source,r,B,comparison,family,n_units,delta_cost,delta_cost_ci_low,delta_cost_ci_high,sign_flip_p,wilcoxon_p,delta_reject,delta_reject_ci_low,delta_reject_ci_high,delta_reject_sign_flip_p,delta_fp_per_sample,delta_fn_per_sample,excluded_degenerate_units,sign_flip_p_holm
MDPE_OADNet_text,5.0,0.6,cs_vs_uni,secondary,191,-0.11222968358752562,-0.12980240818726763,-0.09545029023446393,9.999000099990002e-05,3.010606872368976e-24,0.009712421276272854,-0.0016489775400258123,0.021238333712724777,0.09659034096590341,0.05906555884361485,-0.035230290613855374,0,
MDPE_OADNet_text,5.0,0.7,cs_vs_uni,secondary,191,-0.07911829425601334,-0.09238008858790499,-0.06594143618635707,9.999000099990002e-05,2.822738793368039e-21,0.0019348964261324724,-0.009169891494043562,0.013296010698839057,0.7358264173582642,0.046498216860156316,-0.02531679186584718,0,
MDPE_OADNet_text,5.0,0.8,cs_vs_uni,secondary,191,-0.044578496092268,-0.05531951874193792,-0.034157869527278235,9.999000099990002e-05,1.7154363102848405e-11,0.005743986645420733,-0.002771596858638751,0.014303057895136183,0.1887811218878112,0.030002276348736624,-0.015490553152742998,0,
MDPE_OADNet_text,10.0,0.6,cs_vs_uni,secondary,191,-0.3618891797556719,-0.4093625749298126,-0.3169327386372259,9.999000099990002e-05,1.4339139781765845e-29,0.02401358221412853,0.010340077016465577,0.03821064762121556,0.0007999200079992001,0.07308407314667274,-0.0446980044009409,0,
MDPE_OADNet_text,10.0,0.7,cs_vs_uni,secondary,191,-0.26157713028302604,-0.29834367175051213,-0.2261152448971849,9.999000099990002e-05,1.447977702134894e-27,0.001969041657181863,-0.010949474542833305,0.015699265877532415,0.7788221177882212,0.065232566962592,-0.0327794218074209,0,
MDPE_OADNet_text,10.0,0.8,cs_vs_uni,secondary,191,-0.14134608088625847,-0.16856118161469008,-0.11522111408301086,9.999000099990002e-05,3.1579205343094863e-18,-0.004188481675392675,-0.016031565369147887,0.00794635404810682,0.49335066493350666,0.047958873966158284,-0.01872107140147204,0,
OpenDeception,3.0,0.6,cs_vs_uni,secondary,511,-0.07367510723675108,-0.07993390654789873,-0.06757762491911222,9.999000099990002e-05,3.6931811092940484e-67,0.0019118476652723215,-0.0047191560342245255,0.008484545841199459,0.5725427457254274,0.03997659874372203,-0.03820254327103643,0,
OpenDeception,3.0,0.6,cs_vs_free2d,secondary,511,-0.054116649821150796,-0.05943514576856064,-0.04887429346039914,9.999000099990002e-05,5.674327374239706e-59,-0.0362288309646431,-0.0423438448917901,-0.030201453254290835,9.999000099990002e-05,0.04161579016764926,-0.02587267483549284,0,
OpenDeception,3.0,0.6,cs_vs_match,secondary,511,-0.06225805614259625,-0.0678993741092567,-0.05682133253243821,9.999000099990002e-05,6.15190810233657e-65,-0.03334958366269521,-0.03965894102635786,-0.02715905175494217,9.999000099990002e-05,0.0470957266260593,-0.030892996979102656,0,
OpenDeception,3.0,0.7,cs_vs_uni,secondary,511,-0.06395282799392389,-0.0699841359988131,-0.058098792569682985,9.999000099990002e-05,5.395411375155965e-63,0.01674091292486596,0.01084087151161515,0.02256407193589189,9.999000099990002e-05,0.030510652643725055,-0.03427797903336064,0,
OpenDeception,3.0,0.7,cs_vs_free2d,secondary,511,-0.0493639487279409,-0.05425551359382084,-0.04444891266050757,9.999000099990002e-05,3.4584624003685036e-60,-0.04479845225442095,-0.05084855283876811,-0.03876836128646305,9.999000099990002e-05,0.04306754128671937,-0.023344087962483266,0,
OpenDeception,3.0,0.7,cs_vs_match,secondary,511,-0.07183553237369285,-0.07826393350072411,-0.06544179059687866,9.999000099990002e-05,4.952081147925187e-64,0.03749358491041466,0.03162906624795078,0.04347743287371466,9.999000099990002e-05,0.02698292792226256,-0.039188417583720915,0,
OpenDeception,3.0,0.8,cs_vs_uni,secondary,511,-0.03962092701818729,-0.04409468469669057,-0.03518612448651588,9.999000099990002e-05,4.003371958324571e-48,-0.023070845223487103,-0.028352747165858713,-0.01787467881107804,9.999000099990002e-05,0.029992692673710287,-0.019359399026718006,0,
OpenDeception,3.0,0.8,cs_vs_free2d,secondary,511,-0.029477239438100492,-0.03319095739007677,-0.02595990275760334,9.999000099990002e-05,1.049731356301338e-43,-0.04659917164809533,-0.051740332129275375,-0.04165782320527918,9.999000099990002e-05,0.03083068051756897,-0.012336111377207267,0,
OpenDeception,3.0,0.8,cs_vs_match,secondary,511,-0.047865119225197504,-0.053195658847566864,-0.042833239330793145,9.999000099990002e-05,2.363545711234654e-49,0.01432055876282882,0.009143915390979968,0.019308153414317793,9.999000099990002e-05,0.0222794426708321,-0.025768280425814676,0,
OpenDeception,2.0,0.6,cs_vs_uni,secondary,511,-0.023717128707343976,-0.02676046553468276,-0.02061903912026222,9.999000099990002e-05,2.3373818116520895e-39,-0.00921855270191865,-0.014251141118068708,-0.004148314829332441,0.0006999300069993001,0.028861542892854045,-0.02398469762461935,0,
OpenDeception,2.0,0.7,cs_vs_uni,secondary,511,-0.019205900644256816,-0.022214715731105176,-0.016292446355557905,9.999000099990002e-05,2.3071784858876707e-29,0.024906041990190718,0.020441246403085932,0.029283169266045975,9.999000099990002e-05,0.01465903090169235,-0.023158976270522262,0,
OpenDeception,2.0,0.8,cs_vs_uni,secondary,511,-0.015793114256910733,-0.018254466559750316,-0.013332699970175508,9.999000099990002e-05,1.1938177004727592e-28,-0.009862125263299428,-0.013904168727554235,-0.00594976012246071,9.999000099990002e-05,0.01659822021857247,-0.013730135921916744,0,
OpenDeception,5.0,0.6,cs_vs_uni,secondary,511,-0.20486449406214574,-0.21939817292948408,-0.19113896850051448,9.999000099990002e-05,1.3735792605499142e-79,-0.002494639520079833,-0.010700166815137462,0.005946897851007443,0.5602439756024398,0.060528106379378395,-0.052829056136296834,0,
OpenDeception,5.0,0.7,cs_vs_uni,secondary,511,-0.1677035923415571,-0.18038854475596158,-0.15466829699437334,9.999000099990002e-05,1.4886067338427172e-76,0.02697109370299194,0.019907601965331905,0.034182980587579403,9.999000099990002e-05,0.03743793931660858,-0.04372541570193234,0,
OpenDeception,5.0,0.8,cs_vs_uni,secondary,511,-0.10416367824391308,-0.11383050247751814,-0.09491185792898121,9.999000099990002e-05,4.942788633962586e-68,-0.014896981687588344,-0.02121021129338155,-0.00860020279785447,9.999000099990002e-05,0.03436882969172597,-0.02621680341836898,0,
OpenDeception,10.0,0.6,cs_vs_uni,secondary,511,-0.588097176795807,-0.6247224475350698,-0.5516723329670984,9.999000099990002e-05,2.589428746595186e-83,0.022295084780407676,0.012396744753398373,0.0319481862994583,9.999000099990002e-05,0.06722716509409268,-0.06664718842801033,0,
OpenDeception,10.0,0.7,cs_vs_uni,secondary,511,-0.4740223627209929,-0.5072288606153577,-0.4408686431257371,9.999000099990002e-05,2.6351335376777064e-81,0.02408217787865537,0.015100457001141931,0.03295461192427923,9.999000099990002e-05,0.05174670513222372,-0.053781015679254425,0,
OpenDeception,10.0,0.8,cs_vs_uni,secondary,511,-0.2979928605858156,-0.3230199212616042,-0.27343016757106775,9.999000099990002e-05,8.20135919468162e-75,-0.005940645568825605,-0.013474378415669999,0.0014685957660517384,0.1192880711928807,0.039611907987641845,-0.033463444578904454,0,
SEUMLD_OADNet_audio,3.0,0.6,cs_vs_uni,secondary,76,-0.004175722123802591,-0.021707076121302724,0.012864481916435822,0.6302369763023697,0.981041882586898,-0.006583072759044041,-0.02789885506650566,0.016173892685596113,0.575942405759424,0.05096773011036344,-0.017283971951548006,0,
SEUMLD_OADNet_audio,3.0,0.6,cs_vs_free2d,secondary,76,-0.0019318875932475394,-0.020096871970865127,0.015563466939366503,0.8371162883711629,0.9793475195767166,-0.039337406298761146,-0.06155884099779147,-0.017245099489005423,0.0006999300069993001,0.06171604714672405,-0.014659743863530335,0,
SEUMLD_OADNet_audio,3.0,0.6,cs_vs_match,secondary,76,-0.012667382606150968,-0.032205609553998364,0.005424978818788026,0.19308069193080693,0.4894509433415307,0.03879481731465743,0.01826321419500824,0.06075295468919134,0.0004999500049995,0.03473215343972882,-0.022265648234402833,0,
SEUMLD_OADNet_audio,3.0,0.7,cs_vs_uni,primary,76,-0.007857064717795284,-0.022660584170045392,0.006567375034737696,0.30056994300569945,0.6825306867086972,-0.0017459343139702075,-0.021069780071531177,0.01794802352175763,0.8633136686331366,0.032806032554600614,-0.013263376705136934,0,0.6011398860113989
SEUMLD_OADNet_audio,3.0,0.7,cs_vs_free2d,secondary,76,-0.0014454860623777457,-0.016270711781181335,0.012531191197822884,0.8442155784421558,0.8187163829057592,-0.03912421681772224,-0.06156597088344035,-0.01685349196932304,0.0007999200079992001,0.04759774143760439,-0.009827039697040341,0,
SEUMLD_OADNet_audio,3.0,0.7,cs_vs_match,secondary,76,-0.010266495464574426,-0.024937435844880344,0.003742279064320119,0.16798320167983202,0.44815934617535325,0.01286902305889954,-0.0054313637858840235,0.03184459019429329,0.18388161183881613,0.027606738880790196,-0.014769248624938136,0,
SEUMLD_OADNet_audio,3.0,0.8,cs_vs_uni,secondary,76,-0.006977216929795715,-0.018261489693886017,0.004210987751552417,0.22797720227977203,0.44149943287808036,-0.009869134213179786,-0.026461112952570403,0.0070176251660537346,0.2616738326167383,0.027223260850266325,-0.009755303557824044,0,
SEUMLD_OADNet_audio,3.0,0.8,cs_vs_free2d,secondary,76,-0.006137303421374129,-0.01732362760968035,0.004945352565352189,0.27817218278172184,0.335187962308386,-0.02979442175565229,-0.04777688252480494,-0.011844997056717951,0.0017998200179982,0.03357296428739189,-0.008271018943646619,0,
