source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
MDPE_OADNet_audio,3.0,0.7,free2d,25,0.5728718124777292,0.6962975422918083,0.10201524106750258,0.040902600088107546,0.48,1.0,0.0,0.15,0.075,0.0
MDPE_OADNet_audio,3.0,0.7,match,25,0.597060585979931,0.6386488468884564,0.1072236607155928,0.05683750060670331,0.2,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_audio,3.0,0.7,uni,25,0.5855427509542408,0.6732550149982006,0.09811091383889316,0.050268109872082405,0.36,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_audio,3.0,0.8,cs,25,0.5394881246255399,0.7590556396520911,0.10261502744195865,0.019115092452511882,0.28,1.0,0.0,0.15,0.049999999999999996,0.0
MDPE_OADNet_audio,3.0,0.8,free2d,25,0.5449196508325042,0.8033623058131889,0.06197280090824257,0.027088565672555718,0.52,1.0,0.0,0.1,0.075,0.0
MDPE_OADNet_audio,3.0,0.8,match,25,0.5575713555770456,0.7543222559103212,0.07654432311477953,0.03462196816903519,0.28,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_audio,3.0,0.8,uni,25,0.5525626681733115,0.7800391310746774,0.06749439637072452,0.031682902088416086,0.44,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_audio,5.0,0.6,cs,25,0.5925625875029057,0.6188049943816284,0.18608005178493658,0.019416007705430977,0.68,0.44,0.0,0.3,0.06,0.0
MDPE_OADNet_audio,5.0,0.6,uni,25,0.746838838343682,0.5804273859336956,0.12439094451859592,0.06644684017164766,0.4,1.0,0.0,0.2,0.2,0.0
MDPE_OADNet_audio,5.0,0.7,cs,25,0.5842367884761959,0.6678366815727018,0.15866452643183115,0.01833078425160276,0.4,1.0,0.0,0.25,0.05,0.0
MDPE_OADNet_audio,5.0,0.7,uni,25,0.6860789706984056,0.6732550149982006,0.09811091383889316,0.050268109872082405,0.36,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_audio,5.0,0.8,cs,25,0.5627192150494256,0.7590162515661398,0.11255310968383428,0.014131595916504265,0.28,1.0,0.0,0.2,0.04,0.0
MDPE_OADNet_audio,5.0,0.8,uni,25,0.6159284723501437,0.7800391310746774,0.06749439637072452,0.031682902088416086,0.44,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_audio,10.0,0.6,cs,25,0.6345975978198516,0.6423383445480145,0.18608005178493658,0.01273483737609077,0.8,0.12,0.0,0.3,0.03,0.0
MDPE_OADNet_audio,10.0,0.6,uni,25,1.0790730392019203,0.5804273859336956,0.12439094451859592,0.06644684017164766,0.4,1.0,0.0,0.2,0.2,0.0
MDPE_OADNet_audio,10.0,0.7,cs,25,0.62504102515395,0.6680315201389003,0.17186559112448627,0.011915967396001361,0.4,1.0,0.0,0.3,0.03,0.0
